,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
24,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,0.0,Semiurban,0
25,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,1
26,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,1
27,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,1
28,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,0
29,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,1
30,Yes,1,Graduate,No,4166,3369.0,201.0,360.0,0.0,Urban,0
31,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,0
32,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,0
33,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,1
34,No,3,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,0
35,Yes,0,Graduate,No,2275,2067.0,146.41216216216216,360.0,1.0,Urban,1
36,Yes,0,Graduate,No,1828,1330.0,100.0,360.0,0.0,Urban,0
37,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,1
38,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,1
39,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,1
40,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,0
41,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,1
42,Yes,0,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,1
43,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,1
44,Yes,0,Not Graduate,Yes,4695,0.0,96.0,360.0,1.0,Urban,1
45,No,0,Graduate,No,3410,0.0,88.0,360.0,1.0,Urban,1
46,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,1
47,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,1
48,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,0
49,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,1
50,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,1
51,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,1
52,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,0
53,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,0
54,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,0
55,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,1
56,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,1
57,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,0
58,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,1
59,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,1
60,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,1
61,Yes,3,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,1
62,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,0
63,Yes,1,Graduate,No,4945,0.0,146.41216216216216,360.0,0.0,Rural,0
64,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,0
65,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,0
66,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,0
67,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,1
68,Yes,3,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,1
69,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,0
70,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,1
71,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,1
72,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,1
73,Yes,3,Not Graduate,No,4755,0.0,95.0,360.0,0.0,Semiurban,0
74,Yes,3,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,1
75,No,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,0
76,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,0
77,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,0
78,Yes,3,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,0
79,Yes,3,Not Graduate,Yes,3333,2166.0,130.0,360.0,1.0,Semiurban,1
80,No,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,1
81,Yes,1,Graduate,Yes,2395,0.0,146.41216216216216,360.0,1.0,Semiurban,1
82,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,0
83,Yes,0,Graduate,No,6000,2250.0,265.0,360.0,0.0,Semiurban,0
84,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,1
85,No,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,1
86,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,1.0,Semiurban,1
87,Yes,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,1
88,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,1
89,Yes,0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,1
90,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,1
91,Yes,2,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,1
92,Yes,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,1
93,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,1
94,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,1
95,No,0,Graduate,No,6782,0.0,146.41216216216216,360.0,0.0,Urban,0
96,Yes,0,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,1
97,Yes,0,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,1
98,Yes,0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,1
99,Yes,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,1
100,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,1
101,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,1
102,Yes,0,Graduate,No,13650,0.0,146.41216216216216,360.0,1.0,Urban,1
103,Yes,0,Graduate,No,4652,3583.0,146.41216216216216,360.0,1.0,Semiurban,1
104,Yes,0,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,1
105,Yes,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,1
106,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,1
107,No,0,Not Graduate,No,7333,0.0,120.0,360.0,1.0,Rural,0
108,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,0
109,Yes,3,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,1
110,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,1
111,Yes,0,Graduate,No,2929,2333.0,139.0,360.0,1.0,Semiurban,1
112,Yes,0,Not Graduate,No,3572,4114.0,152.0,360.0,0.0,Rural,0
113,No,1,Graduate,Yes,7451,0.0,146.41216216216216,360.0,1.0,Semiurban,1
114,No,0,Graduate,No,5050,0.0,118.0,360.0,1.0,Semiurban,1
115,Yes,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,1
116,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,1
117,Yes,1,Graduate,No,2214,1398.0,85.0,360.0,1.0,Urban,1
118,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,0
119,No,0,Graduate,No,10408,0.0,259.0,360.0,1.0,Urban,1
120,Yes,0,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,1
121,No,0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,1
122,No,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,1
123,Yes,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,1
124,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,1
125,No,0,Graduate,No,3692,0.0,93.0,360.0,1.0,Rural,1
126,Yes,3,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,1
127,No,0,Graduate,No,3865,1640.0,146.41216216216216,360.0,1.0,Rural,1
128,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,0
129,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,0.0,Rural,0
130,No,0,Graduate,Yes,20166,0.0,650.0,480.0,1.0,Urban,1
131,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,1
132,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,1
133,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,1
134,No,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,1
135,Yes,3,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,0
136,Yes,0,Graduate,No,4583,0.0,84.0,360.0,1.0,Rural,0
137,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,1
138,No,0,Graduate,No,14999,0.0,242.0,360.0,0.0,Semiurban,0
139,Yes,2,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,0
140,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,0
141,No,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,1
142,No,0,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,1
143,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,1
144,Yes,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,1
145,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,1
146,Yes,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,1
147,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,1
148,No,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,0
149,Yes,0,Graduate,No,4860,830.0,125.0,360.0,1.0,Semiurban,1
150,No,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,0
151,Yes,0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,1
152,No,0,Graduate,No,9166,0.0,244.0,360.0,1.0,Urban,0
153,Yes,2,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,0
154,No,0,Graduate,No,3254,0.0,50.0,360.0,1.0,Urban,1
155,Yes,3,Graduate,No,39999,0.0,600.0,180.0,0.0,Semiurban,1
156,Yes,1,Graduate,No,6000,0.0,160.0,360.0,1.0,Rural,1
157,Yes,1,Graduate,No,9538,0.0,187.0,360.0,1.0,Urban,1
158,No,0,Graduate,No,2980,2083.0,120.0,360.0,1.0,Rural,1
159,Yes,0,Graduate,No,4583,5625.0,255.0,360.0,1.0,Semiurban,1
160,Yes,0,Not Graduate,No,1863,1041.0,98.0,360.0,1.0,Semiurban,1
161,Yes,0,Graduate,No,7933,0.0,275.0,360.0,1.0,Urban,0
162,Yes,1,Graduate,No,3089,1280.0,121.0,360.0,0.0,Semiurban,0
163,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,1
164,Yes,0,Graduate,No,9323,0.0,75.0,180.0,1.0,Urban,1
165,Yes,0,Graduate,No,3707,3166.0,182.0,360.0,1.0,Rural,1
166,Yes,0,Graduate,No,4583,0.0,112.0,360.0,1.0,Rural,0
167,Yes,0,Graduate,No,2439,3333.0,129.0,360.0,1.0,Rural,1
168,No,0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,0
169,Yes,2,Graduate,No,8000,0.0,200.0,360.0,1.0,Semiurban,1
170,Yes,0,Not Graduate,No,1820,1769.0,95.0,360.0,1.0,Rural,1
171,Yes,3,Graduate,No,51763,0.0,700.0,300.0,1.0,Urban,1
172,Yes,3,Not Graduate,No,3522,0.0,81.0,180.0,1.0,Rural,0
173,Yes,0,Graduate,No,5708,5625.0,187.0,360.0,1.0,Semiurban,1
174,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,0
175,Yes,0,Graduate,No,3497,1964.0,116.0,360.0,1.0,Rural,1
176,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,1
177,Yes,3,Graduate,No,5516,11300.0,495.0,360.0,0.0,Semiurban,0
178,Yes,1,Graduate,No,3750,0.0,116.0,360.0,1.0,Semiurban,1
179,No,0,Not Graduate,No,2333,1451.0,102.0,480.0,0.0,Urban,0
180,Yes,1,Graduate,No,6400,7250.0,180.0,360.0,0.0,Urban,0
181,No,0,Graduate,No,1916,5063.0,67.0,360.0,0.0,Rural,0
182,Yes,0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,1
183,Yes,1,Graduate,No,33846,0.0,260.0,360.0,1.0,Semiurban,0
184,Yes,0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,1
185,Yes,0,Graduate,Yes,39147,4750.0,120.0,360.0,1.0,Semiurban,1
186,Yes,1,Graduate,Yes,2178,0.0,66.0,300.0,0.0,Rural,0
187,Yes,0,Graduate,No,2383,2138.0,58.0,360.0,1.0,Rural,1
188,Yes,0,Graduate,Yes,674,5296.0,168.0,360.0,1.0,Rural,1
189,Yes,0,Graduate,No,9328,0.0,188.0,180.0,1.0,Rural,1
190,No,0,Not Graduate,No,4885,0.0,48.0,360.0,1.0,Rural,1
191,No,0,Graduate,No,12000,0.0,164.0,360.0,1.0,Semiurban,0
192,Yes,0,Not Graduate,No,6033,0.0,160.0,360.0,1.0,Urban,0
193,No,0,Graduate,No,3858,0.0,76.0,360.0,1.0,Semiurban,1
194,No,0,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,1
195,Yes,1,Graduate,No,3125,2583.0,170.0,360.0,1.0,Semiurban,0
196,No,0,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural,1
197,No,0,Not Graduate,No,1907,2365.0,120.0,360.0,1.0,Urban,1
198,Yes,0,Graduate,No,3416,2816.0,113.0,360.0,1.0,Semiurban,1
199,No,0,Graduate,Yes,11000,0.0,83.0,360.0,1.0,Urban,0
200,Yes,1,Not Graduate,No,2600,2500.0,90.0,360.0,1.0,Semiurban,1
201,No,2,Graduate,No,4923,0.0,166.0,360.0,0.0,Semiurban,1
202,Yes,3,Not Graduate,No,3992,0.0,146.41216216216216,180.0,1.0,Urban,0
203,Yes,1,Not Graduate,No,3500,1083.0,135.0,360.0,1.0,Urban,1
204,Yes,2,Not Graduate,No,3917,0.0,124.0,360.0,1.0,Semiurban,1
205,No,0,Not Graduate,No,4408,0.0,120.0,360.0,1.0,Semiurban,1
206,No,0,Graduate,No,3244,0.0,80.0,360.0,1.0,Urban,1
207,No,0,Not Graduate,No,3975,2531.0,55.0,360.0,1.0,Rural,1
208,No,0,Graduate,No,2479,0.0,59.0,360.0,1.0,Urban,1
209,No,0,Graduate,No,3418,0.0,127.0,360.0,1.0,Semiurban,0
210,No,0,Graduate,No,10000,0.0,214.0,360.0,1.0,Semiurban,0
211,Yes,3,Graduate,No,3430,1250.0,128.0,360.0,0.0,Semiurban,0
212,Yes,1,Graduate,Yes,7787,0.0,240.0,360.0,1.0,Urban,1
213,Yes,3,Not Graduate,Yes,5703,0.0,130.0,360.0,1.0,Rural,1
214,Yes,0,Graduate,No,3173,3021.0,137.0,360.0,1.0,Urban,1
215,Yes,3,Not Graduate,No,3850,983.0,100.0,360.0,1.0,Semiurban,1
216,Yes,0,Graduate,No,150,1800.0,135.0,360.0,1.0,Rural,0
217,Yes,0,Graduate,No,3727,1775.0,131.0,360.0,1.0,Semiurban,1
218,Yes,2,Graduate,No,5000,0.0,72.0,360.0,0.0,Semiurban,0
219,Yes,2,Graduate,No,4283,2383.0,127.0,360.0,1.0,Semiurban,1
220,Yes,0,Graduate,No,2221,0.0,60.0,360.0,0.0,Urban,0
221,Yes,2,Graduate,No,4009,1717.0,116.0,360.0,1.0,Semiurban,1
222,No,0,Graduate,No,2971,2791.0,144.0,360.0,1.0,Semiurban,1
223,Yes,0,Graduate,No,7578,1010.0,175.0,360.0,1.0,Semiurban,1
224,Yes,0,Graduate,No,6250,0.0,128.0,360.0,1.0,Semiurban,1
225,Yes,0,Graduate,No,3250,0.0,170.0,360.0,1.0,Rural,0
226,Yes,0,Not Graduate,Yes,4735,0.0,138.0,360.0,1.0,Urban,0
227,Yes,2,Graduate,No,6250,1695.0,210.0,360.0,1.0,Semiurban,1
228,No,0,Graduate,No,4758,0.0,158.0,480.0,1.0,Semiurban,1
229,No,0,Graduate,Yes,6400,0.0,200.0,360.0,1.0,Rural,1
230,Yes,1,Graduate,No,2491,2054.0,104.0,360.0,1.0,Semiurban,1
231,Yes,0,Graduate,No,3716,0.0,42.0,180.0,1.0,Rural,1
232,No,0,Not Graduate,No,3189,2598.0,120.0,360.0,1.0,Rural,1
233,No,0,Graduate,No,8333,0.0,280.0,360.0,1.0,Semiurban,1
234,Yes,1,Graduate,No,3155,1779.0,140.0,360.0,1.0,Semiurban,1
235,Yes,1,Graduate,No,5500,1260.0,170.0,360.0,1.0,Rural,1
236,Yes,0,Graduate,No,5746,0.0,255.0,360.0,0.0,Urban,0
237,No,0,Graduate,Yes,3463,0.0,122.0,360.0,1.0,Urban,1
238,No,1,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,1
239,Yes,1,Graduate,No,3315,0.0,96.0,360.0,1.0,Semiurban,1
240,Yes,2,Graduate,No,5819,5000.0,120.0,360.0,1.0,Rural,1
241,Yes,1,Not Graduate,No,2510,1983.0,140.0,180.0,1.0,Urban,0
242,No,0,Graduate,No,2965,5701.0,155.0,60.0,1.0,Urban,1
243,Yes,2,Graduate,Yes,6250,1300.0,108.0,360.0,1.0,Rural,1
244,Yes,0,Not Graduate,No,3406,4417.0,123.0,360.0,1.0,Semiurban,1
245,No,0,Graduate,Yes,6050,4333.0,120.0,180.0,1.0,Urban,0
246,Yes,2,Graduate,No,9703,0.0,112.0,360.0,1.0,Urban,1
247,Yes,1,Not Graduate,No,6608,0.0,137.0,180.0,1.0,Urban,1
248,Yes,1,Graduate,No,2882,1843.0,123.0,480.0,1.0,Semiurban,1
249,Yes,0,Graduate,No,1809,1868.0,90.0,360.0,1.0,Urban,1
250,Yes,0,Not Graduate,No,1668,3890.0,201.0,360.0,0.0,Semiurban,0
251,No,2,Graduate,No,3427,0.0,138.0,360.0,1.0,Urban,0
252,No,0,Not Graduate,Yes,2583,2167.0,104.0,360.0,1.0,Rural,1
253,Yes,1,Not Graduate,No,2661,7101.0,279.0,180.0,1.0,Semiurban,1
254,No,0,Graduate,Yes,16250,0.0,192.0,360.0,0.0,Urban,0
255,No,3,Graduate,No,3083,0.0,255.0,360.0,1.0,Rural,1
256,No,0,Not Graduate,No,6045,0.0,115.0,360.0,0.0,Rural,0
257,Yes,3,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,0
258,Yes,0,Graduate,No,14683,2100.0,304.0,360.0,1.0,Rural,0
259,Yes,3,Not Graduate,No,4931,0.0,128.0,360.0,0.0,Semiurban,0
260,Yes,1,Graduate,No,6083,4250.0,330.0,360.0,1.0,Urban,1
261,No,0,Graduate,No,2060,2209.0,134.0,360.0,1.0,Semiurban,1
262,No,1,Graduate,No,3481,0.0,155.0,36.0,1.0,Semiurban,0
263,No,0,Graduate,No,7200,0.0,120.0,360.0,1.0,Rural,1
264,No,0,Graduate,Yes,5166,0.0,128.0,360.0,1.0,Semiurban,1
265,No,0,Graduate,No,4095,3447.0,151.0,360.0,1.0,Rural,1
266,Yes,2,Graduate,No,4708,1387.0,150.0,360.0,1.0,Semiurban,1
267,Yes,3,Graduate,No,4333,1811.0,160.0,360.0,0.0,Urban,1
268,No,0,Graduate,No,3418,0.0,135.0,360.0,1.0,Rural,0
269,No,1,Graduate,No,2876,1560.0,90.0,360.0,1.0,Urban,1
270,No,0,Graduate,No,3237,0.0,30.0,360.0,1.0,Urban,1
271,Yes,0,Graduate,No,11146,0.0,136.0,360.0,1.0,Urban,1
272,No,0,Graduate,No,2833,1857.0,126.0,360.0,1.0,Rural,1
273,Yes,0,Graduate,No,2620,2223.0,150.0,360.0,1.0,Semiurban,1
274,Yes,2,Graduate,No,3900,0.0,90.0,360.0,1.0,Semiurban,1
275,Yes,1,Graduate,No,2750,1842.0,115.0,360.0,1.0,Semiurban,1
276,Yes,0,Graduate,No,3993,3274.0,207.0,360.0,1.0,Semiurban,1
277,Yes,0,Graduate,No,3103,1300.0,80.0,360.0,1.0,Urban,1
278,Yes,0,Graduate,No,14583,0.0,436.0,360.0,1.0,Semiurban,1
279,Yes,0,Not Graduate,No,4100,0.0,124.0,360.0,1.0,Rural,1
280,No,1,Not Graduate,Yes,4053,2426.0,158.0,360.0,0.0,Urban,0
281,Yes,0,Graduate,No,3927,800.0,112.0,360.0,1.0,Semiurban,1
282,Yes,2,Graduate,No,2301,985.7999877999997,78.0,180.0,1.0,Urban,1
283,No,0,Graduate,No,1811,1666.0,54.0,360.0,1.0,Urban,1
284,Yes,0,Graduate,No,20667,0.0,146.41216216216216,360.0,1.0,Rural,0
285,No,0,Graduate,No,3158,3053.0,89.0,360.0,1.0,Rural,1
286,No,0,Graduate,Yes,2600,1717.0,99.0,300.0,1.0,Semiurban,0
287,Yes,0,Graduate,No,3704,2000.0,120.0,360.0,1.0,Rural,1
288,No,0,Graduate,No,4124,0.0,115.0,360.0,1.0,Semiurban,1
289,No,0,Graduate,No,9508,0.0,187.0,360.0,1.0,Rural,1
290,Yes,0,Graduate,No,3075,2416.0,139.0,360.0,1.0,Rural,1
291,Yes,2,Graduate,No,4400,0.0,127.0,360.0,0.0,Semiurban,0
292,Yes,2,Graduate,No,3153,1560.0,134.0,360.0,1.0,Urban,1
293,No,0,Graduate,No,5417,0.0,143.0,480.0,0.0,Urban,0
294,Yes,0,Graduate,No,2383,3334.0,172.0,360.0,1.0,Semiurban,1
295,Yes,3,Graduate,No,4416,1250.0,110.0,360.0,1.0,Urban,1
296,Yes,1,Graduate,No,6875,0.0,200.0,360.0,1.0,Semiurban,1
297,Yes,1,Graduate,No,4666,0.0,135.0,360.0,1.0,Urban,1
298,No,0,Graduate,No,5000,2541.0,151.0,480.0,1.0,Rural,0
299,Yes,1,Graduate,No,2014,2925.0,113.0,360.0,1.0,Urban,0
300,Yes,0,Not Graduate,No,1800,2934.0,93.0,360.0,0.0,Urban,0
301,Yes,0,Not Graduate,No,2875,1750.0,105.0,360.0,1.0,Semiurban,1
302,No,0,Graduate,No,5000,0.0,132.0,360.0,1.0,Rural,1
303,Yes,1,Graduate,No,1625,1803.0,96.0,360.0,1.0,Urban,1
304,No,0,Graduate,No,4000,2500.0,140.0,360.0,1.0,Rural,1
305,No,0,Not Graduate,No,2000,0.0,146.41216216216216,360.0,1.0,Urban,0
306,No,0,Graduate,No,3762,1666.0,135.0,360.0,1.0,Rural,1
307,No,0,Graduate,No,2400,1863.0,104.0,360.0,0.0,Urban,0
308,No,0,Graduate,No,20233,0.0,480.0,360.0,1.0,Rural,0
309,Yes,2,Not Graduate,No,7667,0.0,185.0,360.0,1.0,Rural,1
310,No,0,Graduate,No,2917,0.0,84.0,360.0,1.0,Semiurban,1
311,No,0,Not Graduate,No,2927,2405.0,111.0,360.0,1.0,Semiurban,1
312,No,0,Graduate,No,2507,0.0,56.0,360.0,1.0,Rural,1
313,Yes,2,Graduate,Yes,5746,0.0,144.0,84.0,1.0,Rural,1
314,Yes,0,Graduate,No,2473,1843.0,159.0,360.0,1.0,Rural,0
315,Yes,1,Not Graduate,No,3399,1640.0,111.0,180.0,1.0,Urban,1
316,Yes,2,Graduate,No,3717,0.0,120.0,360.0,1.0,Semiurban,1
317,Yes,0,Graduate,No,2058,2134.0,88.0,360.0,1.0,Urban,1
318,No,1,Graduate,No,3541,0.0,112.0,360.0,1.0,Semiurban,1
319,Yes,1,Graduate,Yes,10000,0.0,155.0,360.0,1.0,Rural,0
320,Yes,0,Graduate,No,2400,2167.0,115.0,360.0,1.0,Semiurban,1
321,Yes,3,Graduate,No,4342,189.0,124.0,360.0,1.0,Semiurban,1
322,Yes,2,Not Graduate,No,3601,1590.0,146.41216216216216,360.0,1.0,Rural,1
323,No,0,Graduate,No,3166,2985.0,132.0,360.0,1.0,Rural,1
324,Yes,3,Graduate,No,15000,0.0,300.0,360.0,1.0,Rural,1
325,Yes,1,Graduate,Yes,8666,4983.0,376.0,360.0,0.0,Rural,0
326,No,0,Graduate,No,4917,0.0,130.0,360.0,0.0,Rural,1
327,Yes,0,Graduate,Yes,5818,2160.0,184.0,360.0,1.0,Semiurban,1
328,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,0
329,No,0,Graduate,No,2500,0.0,67.0,360.0,1.0,Urban,1
330,No,1,Graduate,No,4384,1793.0,117.0,360.0,1.0,Urban,1
331,No,0,Graduate,No,2935,0.0,98.0,360.0,1.0,Semiurban,1
332,No,0,Graduate,No,2833,0.0,71.0,360.0,1.0,Urban,1
333,Yes,0,Graduate,No,63337,0.0,490.0,180.0,1.0,Urban,1
