,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
461,Yes,3,Graduate,No,7740,0,128,180,1,Urban,1
309,Yes,2,Not Graduate,No,7667,0,185,360,1,Rural,1
20,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,0
612,Yes,2,Graduate,No,7583,0,187,360,1,Urban,1
223,Yes,0,Graduate,No,7578,1010,175,360,1,Semiurban,1
113,No,1,Graduate,Yes,7451,0,146.4121622,360,1,Semiurban,1
404,No,0,Graduate,Yes,7441,0,194,360,1,Rural,0
107,No,0,Not Graduate,No,7333,0,120,360,1,Rural,0
444,Yes,0,Graduate,No,7333,8333,175,300,1,Rural,1
423,Yes,1,Graduate,No,7250,1667,110,360,0,Urban,0
263,No,0,Graduate,No,7200,0,120,360,1,Rural,1
383,No,0,Graduate,Yes,7167,0,128,360,1,Urban,1
439,Yes,0,Not Graduate,Yes,7142,0,138,360,1,Rural,1
68,Yes,3,Not Graduate,Yes,7100,0,125,60,1,Urban,1
454,No,0,Graduate,Yes,7085,0,84,360,1,Semiurban,1
142,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,1
296,Yes,1,Graduate,No,6875,0,200,360,1,Semiurban,1
364,No,0,Graduate,Yes,6822,0,141,360,1,Rural,1
529,No,0,Not Graduate,No,6783,0,130,360,1,Semiurban,1
95,No,0,Graduate,No,6782,0,146.4121622,360,0,Urban,0
476,Yes,2,Graduate,No,6700,1750,230,300,1,Semiurban,1
550,Yes,2,Graduate,Yes,6633,0,146.4121622,360,0,Rural,0
247,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,1
580,Yes,2,Graduate,No,6540,0,205,360,1,Semiurban,1
431,No,0,Graduate,No,6500,0,105,360,0,Rural,0
539,Yes,3,Graduate,No,6417,0,157,180,1,Rural,1
574,Yes,3,Graduate,No,6406,0,150,360,1,Semiurban,0
180,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,0
229,No,0,Graduate,Yes,6400,0,200,360,1,Rural,1
596,Yes,2,Not Graduate,Yes,6383,1000,187,360,1,Rural,0
348,Yes,0,Graduate,No,6333,4583,259,360,1,Semiurban,1
368,Yes,1,Graduate,No,6325,0,175,360,1,Semiurban,1
499,No,0,Graduate,No,6283,4416,209,360,0,Rural,0
150,No,0,Graduate,No,6277,0,118,360,0,Rural,0
411,Yes,0,Graduate,No,6256,0,160,360,1,Urban,1
91,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,1
224,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,1
227,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,1
243,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,1
365,No,0,Not Graduate,No,6216,0,133,360,1,Rural,0
536,Yes,0,Graduate,No,6133,3906,324,360,1,Urban,1
573,Yes,2,Not Graduate,No,6125,1625,187,480,1,Semiurban,0
412,Yes,0,Not Graduate,No,6096,0,218,360,0,Rural,0
260,Yes,1,Graduate,No,6083,4250,330,360,1,Urban,1
129,Yes,0,Graduate,No,6080,2569,182,360,0,Rural,0
511,Yes,1,Graduate,No,6065,2004,250,360,1,Semiurban,1
245,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,0
256,No,0,Not Graduate,No,6045,0,115,360,0,Rural,0
192,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,0
4,No,0,Graduate,No,6000,0,141,360,1,Urban,1
83,Yes,0,Graduate,No,6000,2250,265,360,0,Semiurban,0
156,Yes,1,Graduate,No,6000,0,160,360,1,Rural,1
382,No,0,Graduate,No,6000,0,156,360,1,Urban,1
465,No,0,Graduate,No,6000,0,140,360,1,Rural,1
591,Yes,2,Graduate,Yes,6000,0,205,240,1,Semiurban,0
21,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,1
381,No,0,Graduate,No,5941,4232,296,360,1,Semiurban,1
427,Yes,2,Graduate,No,5935,0,133,360,1,Semiurban,1
562,Yes,0,Graduate,No,5923,2054,211,360,1,Rural,1
0,No,0,Graduate,No,5849,0,146.4121622,360,1,Urban,1
420,Yes,0,Graduate,No,5829,0,138,360,1,Rural,1
47,Yes,0,Graduate,No,5821,0,144,360,1,Urban,1
240,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,1
327,Yes,0,Graduate,Yes,5818,2160,184,360,1,Semiurban,1
514,No,0,Graduate,No,5815,3666,311,360,1,Rural,0
563,No,0,Not Graduate,Yes,5800,0,132,360,1,Semiurban,1
599,Yes,2,Graduate,No,5780,0,192,360,1,Urban,1
236,Yes,0,Graduate,No,5746,0,255,360,0,Urban,0
313,Yes,2,Graduate,Yes,5746,0,144,84,1,Rural,1
65,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,0
173,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,1
213,Yes,3,Not Graduate,Yes,5703,0,130,360,1,Rural,1
602,Yes,3,Graduate,No,5703,0,128,360,1,Urban,1
89,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,1
522,Yes,3,Graduate,Yes,5677,1424,100,360,1,Rural,1
120,Yes,0,Graduate,No,5667,2667,180,360,1,Rural,1
46,Yes,1,Graduate,No,5649,0,44,360,1,Urban,1
118,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,0
474,No,2,Graduate,No,5532,4648,162,360,1,Rural,1
177,Yes,3,Graduate,No,5516,11300,495,360,0,Semiurban,0
335,Yes,0,Graduate,Yes,5503,4490,70,360,1,Semiurban,1
235,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,1
353,Yes,0,Graduate,Yes,5500,0,105,360,0,Rural,0
389,Yes,0,Graduate,No,5488,0,125,360,1,Rural,1
555,Yes,1,Graduate,No,5468,1032,26,360,1,Semiurban,1
5,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,1
141,No,0,Graduate,No,5417,0,168,360,1,Urban,1
293,No,0,Graduate,No,5417,0,143,480,0,Urban,0
379,Yes,2,Graduate,No,5391,0,130,360,1,Urban,1
491,Yes,1,Not Graduate,No,5333,1131,186,360,1,Urban,1
110,No,0,Graduate,No,5316,0,136,360,1,Urban,1
527,Yes,1,Not Graduate,No,5285,1430,161,360,0,Semiurban,1
74,Yes,3,Graduate,Yes,5266,1774,187,360,1,Semiurban,1
257,Yes,3,Graduate,No,5250,0,94,360,1,Urban,0
336,Yes,1,Graduate,No,5250,688,160,360,1,Rural,1
463,No,1,Not Graduate,No,5191,0,132,360,1,Semiurban,1
371,Yes,2,Graduate,No,5185,0,155,360,1,Semiurban,1
359,Yes,3,Graduate,No,5167,3167,200,360,1,Semiurban,1
264,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,1
367,No,0,Graduate,No,5124,0,124,360,0,Rural,0
571,Yes,0,Graduate,No,5116,1451,165,360,0,Urban,0
114,No,0,Graduate,No,5050,0,118,360,1,Semiurban,1
140,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,0
218,Yes,2,Graduate,No,5000,0,72,360,0,Semiurban,0
298,No,0,Graduate,No,5000,2541,151,480,1,Rural,0
302,No,0,Graduate,No,5000,0,132,360,1,Rural,1
361,Yes,2,Graduate,No,5000,3667,236,360,1,Semiurban,1
548,No,0,Graduate,No,5000,0,103,360,0,Semiurban,0
15,No,0,Graduate,No,4950,0,125,360,1,Urban,1
63,Yes,1,Graduate,No,4945,0,146.4121622,360,0,Rural,0
259,Yes,3,Not Graduate,No,4931,0,128,360,0,Semiurban,0
201,No,2,Graduate,No,4923,0,166,360,0,Semiurban,1
326,No,0,Graduate,No,4917,0,130,360,0,Rural,1
134,No,0,Graduate,No,4895,0,102,360,1,Semiurban,1
18,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,0
190,No,0,Not Graduate,No,4885,0,48,360,1,Rural,1
502,Yes,2,Graduate,No,4865,5624,208,360,1,Semiurban,1
149,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,1
101,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,1
375,Yes,0,Graduate,No,4817,923,120,180,1,Urban,1
228,No,0,Graduate,No,4758,0,158,480,1,Semiurban,1
73,Yes,3,Not Graduate,No,4755,0,95,360,0,Semiurban,0
362,Yes,0,Graduate,No,4750,2333,130,360,1,Urban,1
588,No,0,Graduate,No,4750,0,94,360,1,Semiurban,1
226,Yes,0,Not Graduate,Yes,4735,0,138,360,1,Urban,0
360,No,1,Graduate,No,4723,0,81,360,1,Semiurban,0
266,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,1
442,No,3,Not Graduate,No,4707,1993,148,360,1,Semiurban,1
44,Yes,0,Not Graduate,Yes,4695,0,96,360,1,Urban,1
32,No,1,Graduate,Yes,4692,0,106,360,1,Rural,0
472,Yes,3,Graduate,No,4691,0,100,360,1,Semiurban,1
518,No,0,Graduate,No,4683,1915,185,360,1,Semiurban,0
524,No,0,Graduate,No,4680,2087,146.4121622,360,1,Semiurban,0
297,Yes,1,Graduate,No,4666,0,135,360,1,Urban,1
103,Yes,0,Graduate,No,4652,3583,146.4121622,360,1,Semiurban,1
446,Yes,2,Not Graduate,No,4652,0,110,360,1,Rural,1
497,Yes,0,Graduate,No,4625,2857,111,12,1,Urban,1
53,Yes,2,Graduate,No,4616,0,134,360,1,Urban,0
540,Yes,1,Graduate,No,4608,2845,140,180,1,Semiurban,1
426,No,1,Not Graduate,No,4606,0,81,360,1,Rural,0
182,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,1
1,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,0
136,Yes,0,Graduate,No,4583,0,84,360,1,Rural,0
159,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,1
166,Yes,0,Graduate,No,4583,0,112,360,1,Rural,0
488,Yes,2,Graduate,Yes,4583,2083,160,360,1,Semiurban,1
613,No,0,Graduate,Yes,4583,0,133,360,0,Semiurban,0
384,Yes,2,Graduate,No,4566,0,100,360,1,Urban,0
342,Yes,1,Not Graduate,No,4554,1229,158,360,1,Urban,1
405,No,0,Graduate,No,4547,0,115,360,1,Semiurban,1
565,Yes,0,Not Graduate,No,4467,0,120,360,1,Rural,1
295,Yes,3,Graduate,No,4416,1250,110,360,1,Urban,1
205,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,1
291,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,0
330,No,1,Graduate,No,4384,1793,117,360,1,Urban,1
458,No,2,Graduate,No,4354,0,136,360,1,Rural,1
480,No,0,Not Graduate,No,4350,0,154,360,1,Rural,1
174,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,0
321,Yes,3,Graduate,No,4342,189,124,360,1,Semiurban,1
267,Yes,3,Graduate,No,4333,1811,160,360,0,Urban,1
328,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,0
469,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,0
377,Yes,0,Graduate,No,4310,0,130,360,1,Semiurban,1
456,Yes,0,Graduate,No,4301,0,118,360,1,Urban,1
69,No,0,Graduate,No,4300,0,136,360,0,Semiurban,0
124,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,1
100,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,1
219,Yes,2,Graduate,No,4283,2383,127,360,1,Semiurban,1
585,Yes,1,Graduate,No,4283,3000,172,84,1,Rural,0
531,Yes,3,Graduate,No,4281,0,100,360,1,Urban,1
52,No,0,Graduate,No,4230,0,112,360,1,Semiurban,0
27,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,1
139,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,0
194,No,0,Graduate,No,4191,0,120,360,1,Rural,1
98,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,1
559,Yes,0,Graduate,No,4180,2306,182,360,1,Semiurban,1
163,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,1
30,Yes,1,Graduate,No,4166,3369,201,360,0,Urban,0
38,No,0,Graduate,No,4166,7210,184,360,1,Urban,1
64,No,0,Graduate,No,4166,0,116,360,0,Semiurban,0
121,No,0,Graduate,No,4166,0,44,360,1,Semiurban,1
464,No,0,Graduate,No,4166,0,98,360,0,Semiurban,0
339,No,0,Graduate,No,4160,0,71,360,1,Semiurban,1
93,No,0,Graduate,No,4133,0,122,360,1,Semiurban,1
288,No,0,Graduate,No,4124,0,115,360,1,Semiurban,1
610,Yes,3,Graduate,No,4106,0,40,180,1,Rural,1
279,Yes,0,Not Graduate,No,4100,0,124,360,1,Rural,1
265,No,0,Graduate,No,4095,3447,151,360,1,Rural,1
280,No,1,Not Graduate,Yes,4053,2426,158,360,0,Urban,0
503,Yes,1,Not Graduate,No,4050,5302,138,360,0,Rural,0
221,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,1
8,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,1
49,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,1
135,Yes,3,Graduate,No,4000,7750,290,360,1,Semiurban,0
304,No,0,Graduate,No,4000,2500,140,360,1,Rural,1
276,Yes,0,Graduate,No,3993,3274,207,360,1,Semiurban,1
202,Yes,3,Not Graduate,No,3992,0,146.4121622,180,1,Urban,0
84,Yes,1,Graduate,No,3988,0,50,240,1,Urban,1
607,Yes,2,Not Graduate,No,3987,1411,157,360,1,Rural,1
207,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,1
452,Yes,0,Graduate,No,3948,1733,149,360,0,Rural,0
43,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,1
281,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,1
204,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,1
398,No,0,Not Graduate,No,3902,1666,109,360,1,Rural,1
274,Yes,2,Graduate,No,3900,0,90,360,1,Semiurban,1
558,Yes,0,Graduate,No,3887,2669,162,360,1,Semiurban,1
357,Yes,1,Graduate,No,3875,0,67,360,1,Urban,0
410,No,1,Not Graduate,Yes,3867,0,62,360,1,Semiurban,0
127,No,0,Graduate,No,3865,1640,146.4121622,360,1,Rural,1
455,Yes,2,Graduate,No,3859,0,96,360,1,Semiurban,1
593,Yes,0,Graduate,No,3859,3300,142,180,1,Rural,1
193,No,0,Graduate,No,3858,0,76,360,1,Semiurban,1
215,Yes,3,Not Graduate,No,3850,983,100,360,1,Semiurban,1
80,No,0,Graduate,No,3846,0,111,360,1,Semiurban,1
595,No,0,Not Graduate,No,3833,0,110,360,1,Rural,1
104,Yes,0,Graduate,No,3816,754,160,360,1,Urban,1
504,Yes,0,Not Graduate,No,3814,1483,124,300,1,Semiurban,1
355,No,0,Graduate,No,3813,0,116,180,1,Urban,1
238,No,1,Graduate,No,3812,0,112,360,1,Rural,1
108,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,0
526,Yes,0,Graduate,No,3775,0,110,360,1,Semiurban,1
306,No,0,Graduate,No,3762,1666,135,360,1,Rural,1
29,No,2,Graduate,No,3750,2083,120,360,1,Semiurban,1
75,No,0,Graduate,No,3750,0,113,480,1,Urban,0
76,No,0,Graduate,No,3750,4750,176,360,1,Urban,0
178,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,1
434,No,0,Graduate,No,3750,0,100,360,1,Urban,1
39,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,1
217,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,1
24,Yes,1,Graduate,No,3717,2925,151,360,0,Semiurban,0
316,Yes,2,Graduate,No,3717,0,120,360,1,Semiurban,1
231,Yes,0,Graduate,No,3716,0,42,180,1,Rural,1
457,Yes,0,Graduate,No,3708,2569,173,360,1,Urban,0
165,Yes,0,Graduate,No,3707,3166,182,360,1,Rural,1
287,Yes,0,Graduate,No,3704,2000,120,360,1,Rural,1
125,No,0,Graduate,No,3692,0,93,360,1,Rural,1
492,No,0,Not Graduate,No,3691,0,110,360,1,Rural,1
603,No,0,Graduate,No,3676,4301,172,360,1,Rural,1
560,Yes,2,Not Graduate,No,3675,242,108,360,1,Semiurban,1
37,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,1
385,No,1,Graduate,No,3667,0,113,180,1,Urban,1
440,No,0,Graduate,No,3660,5064,187,360,1,Semiurban,1
542,No,1,Graduate,No,3652,0,95,360,1,Semiurban,1
184,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,1
94,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,1
537,No,2,Graduate,No,3617,0,107,360,1,Semiurban,1
322,Yes,2,Not Graduate,No,3601,1590,146.4121622,360,1,Rural,1
40,No,0,Graduate,No,3600,0,80,360,1,Urban,0
510,No,0,Not Graduate,No,3598,1287,100,360,1,Rural,0
494,Yes,0,Graduate,No,3597,2157,119,360,0,Rural,0
16,No,1,Not Graduate,No,3596,0,100,240,1,Urban,1
554,Yes,0,Graduate,No,3593,4266,132,180,0,Rural,0
532,No,2,Graduate,No,3588,0,110,360,0,Rural,0
507,No,0,Graduate,No,3583,0,96,360,1,Urban,0
112,Yes,0,Not Graduate,No,3572,4114,152,360,0,Rural,0
486,No,2,Graduate,No,3547,0,80,360,0,Rural,0
318,No,1,Graduate,No,3541,0,112,360,1,Semiurban,1
447,Yes,0,Graduate,No,3539,1376,55,360,1,Rural,0
346,Yes,0,Not Graduate,No,3523,3230,152,360,0,Rural,0
172,Yes,3,Not Graduate,No,3522,0,81,180,1,Rural,0
17,No,0,Graduate,No,3510,0,76,360,0,Urban,0
505,Yes,2,Graduate,No,3510,4416,243,360,1,Rural,1
33,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,1
72,No,0,Graduate,No,3500,0,81,300,1,Semiurban,1
203,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,1
175,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,1
262,No,1,Graduate,No,3481,0,155,36,1,Semiurban,0
445,Yes,1,Graduate,Yes,3466,1210,130,360,1,Rural,1
515,Yes,3,Graduate,No,3466,3428,150,360,1,Rural,1
237,No,0,Graduate,Yes,3463,0,122,360,1,Urban,1
133,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,1
470,Yes,1,Graduate,Yes,3450,2079,162,360,1,Semiurban,1
211,Yes,3,Graduate,No,3430,1250,128,360,0,Semiurban,0
251,No,2,Graduate,No,3427,0,138,360,1,Urban,0
209,No,0,Graduate,No,3418,0,127,360,1,Semiurban,0
268,No,0,Graduate,No,3418,0,135,360,1,Rural,0
570,Yes,1,Graduate,No,3417,1750,186,360,1,Urban,1
198,Yes,0,Graduate,No,3416,2816,113,360,1,Semiurban,1
45,No,0,Graduate,No,3410,0,88,360,1,Urban,1
244,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,1
519,No,0,Not Graduate,No,3400,0,95,360,1,Rural,0
567,Yes,3,Graduate,No,3400,2500,123,360,0,Rural,0
606,Yes,1,Graduate,No,3400,2500,173,360,1,Semiurban,1
315,Yes,1,Not Graduate,No,3399,1640,111,180,1,Urban,1
57,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,0
23,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,0
546,No,0,Not Graduate,No,3358,0,80,36,1,Semiurban,0
59,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,1
448,Yes,2,Graduate,No,3340,1710,150,360,0,Rural,0
79,Yes,3,Not Graduate,Yes,3333,2166,130,360,1,Semiurban,1
86,Yes,2,Not Graduate,No,3333,2000,99,360,1,Semiurban,1
380,Yes,0,Graduate,No,3333,2500,128,360,1,Semiurban,1
552,Yes,1,Graduate,No,3333,3250,158,360,1,Urban,1
566,No,0,Graduate,No,3333,0,70,360,1,Urban,1
495,Yes,1,Graduate,No,3326,913,105,84,1,Semiurban,1
137,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,1
239,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,1
512,Yes,2,Graduate,No,3283,2035,148,360,1,Urban,1
395,Yes,2,Graduate,No,3276,484,135,360,1,Semiurban,1
92,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,1
154,No,0,Graduate,No,3254,0,50,360,1,Urban,1
225,Yes,0,Graduate,No,3250,0,170,360,1,Rural,0
419,Yes,0,Graduate,No,3246,1417,138,360,1,Semiurban,1
206,No,0,Graduate,No,3244,0,80,360,1,Urban,1
270,No,0,Graduate,No,3237,0,30,360,1,Urban,1
608,Yes,0,Graduate,No,3232,1950,108,360,1,Rural,1
577,No,0,Graduate,No,3229,2739,110,360,1,Urban,1
70,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,1
10,Yes,2,Graduate,No,3200,700,70,360,1,Urban,1
66,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,0
232,No,0,Not Graduate,No,3189,2598,120,360,1,Rural,1
579,No,0,Graduate,No,3182,2917,161,360,1,Urban,1
396,No,0,Graduate,No,3180,0,71,360,0,Urban,0
214,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,1
343,Yes,3,Not Graduate,No,3173,0,74,360,1,Semiurban,1
31,No,0,Graduate,No,3167,0,74,360,1,Urban,0
78,Yes,3,Graduate,No,3167,4000,180,300,0,Semiurban,0
116,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,1
323,No,0,Graduate,No,3166,2985,132,360,1,Rural,1
569,Yes,0,Graduate,No,3166,2064,104,360,0,Urban,0
582,Yes,0,Graduate,No,3166,0,36,360,1,Semiurban,1
501,No,0,Graduate,No,3159,0,100,360,1,Semiurban,1
575,Yes,2,Graduate,No,3159,461,108,84,1,Urban,1
285,No,0,Graduate,No,3158,3053,89,360,1,Rural,1
234,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,1
292,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,1
195,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,0
277,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,1
394,Yes,2,Graduate,No,3100,1400,113,360,1,Urban,1
481,Yes,3,Not Graduate,No,3095,0,113,360,1,Rural,1
162,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,0
576,Yes,0,Graduate,No,3087,2210,136,360,0,Semiurban,0
51,No,0,Graduate,No,3086,0,120,360,1,Semiurban,1
255,No,3,Graduate,No,3083,0,255,360,1,Rural,1
347,Yes,2,Not Graduate,No,3083,2168,126,360,1,Urban,1
290,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,1
517,Yes,0,Not Graduate,No,3074,1800,123,360,0,Semiurban,0
12,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,1
378,No,0,Graduate,No,3069,0,71,480,1,Urban,0
373,No,1,Graduate,No,3062,1987,111,180,0,Urban,0
105,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,1
7,Yes,3,Graduate,No,3036,2504,158,360,0,Semiurban,0
